metric;min;Q1;median;Q3;max;mean;std;count
mse;651.205274;686.993898;718.466670;740.920277;794.369768;717.049383;34.811918;50
dssim;0.227894;0.239504;0.242374;0.247543;0.257179;0.242963;0.006439;50
lbp_distance;0.116013;0.134406;0.151467;0.165754;0.202616;0.152699;0.021823;50
