iteration;output_file;time_sec;mse;dssim;lbp_distance
1;result\abl_nz_in_100_00006675\302c4fab.jpg;0.548350;10442.852500;0.528527;0.012500
2;result\abl_nz_in_100_00006675\85d5288f.jpg;0.539317;9991.284375;0.491100;0.011759
3;result\abl_nz_in_100_00006675\3fad573f.jpg;0.560921;9609.693750;0.487217;0.023963
4;result\abl_nz_in_100_00006675\79110321.jpg;0.535543;9911.320625;0.498505;0.010897
5;result\abl_nz_in_100_00006675\dc1899b8.jpg;0.541836;9052.387500;0.453060;0.028284
6;result\abl_nz_in_100_00006675\6b52f9b8.jpg;0.518857;10750.003750;0.507870;0.033715
7;result\abl_nz_in_100_00006675\adb2955e.jpg;0.546941;9887.996875;0.499992;0.017810
8;result\abl_nz_in_100_00006675\a9a3b43e.jpg;0.519565;9912.085000;0.517417;0.016032
9;result\abl_nz_in_100_00006675\65c4d1d7.jpg;0.534214;8442.790000;0.434439;0.014974
10;result\abl_nz_in_100_00006675\bfde21b6.jpg;0.534076;10040.496250;0.480902;0.019625
