# run_dir;result\run_5f43816c42_1;;;;
# run_timestamp;2025-09-16T08:09:46;;;;
# sample_path;tgs_salt/5f43816c42.png;;;;
# sample_semantic_mask_path;tgs_salt/5f43816c42Mask.png;;;;
# generat_mask_path;tgs_salt/5f43816c42Mask.png;;;;
# window_height;101;;;;
# window_width;101;;;;
# kernel_size;11;;;;
# visualize;False;;;;
# iterations_requested;100;;;;
# iterations_completed;100;;;;
# --- métricas por iteração ---;;;;;
iteration;output_file;time_sec;mse;dssim;lbp_distance
66;result\run_5f43816c42_1\7bc7334b.jpg;23.282393;802.302911;0.248052;0.206768
67;result\run_5f43816c42_1\3384ac32.jpg;22.576765;797.77414;0.232574;0.256382
68;result\run_5f43816c42_1\a8907e8e.jpg;21.84731;689.836291;0.2375;0.138823
69;result\run_5f43816c42_1\27ef0a47.jpg;22.013982;771.863249;0.264257;0.154517
70;result\run_5f43816c42_1\a13d09ea.jpg;21.862746;863.419567;0.257433;0.308159
71;result\run_5f43816c42_1\6e2fc043.jpg;22.200924;691.06519;0.232808;0.209849
72;result\run_5f43816c42_1\a5adc7e1.jpg;21.961653;830.890599;0.250516;0.20875
73;result\run_5f43816c42_1\91cb59a7.jpg;21.745438;713.155573;0.247228;0.193918
74;result\run_5f43816c42_1\04c97924.jpg;21.937599;824.221743;0.25179;0.127519
75;result\run_5f43816c42_1\529aa00f.jpg;22.472393;780.997157;0.254062;0.134855
76;result\run_5f43816c42_1\c9255056.jpg;22.988807;722.130379;0.244462;0.247203
77;result\run_5f43816c42_1\90927292.jpg;21.732072;794.237526;0.255218;0.203691
78;result\run_5f43816c42_1\d8971933.jpg;21.950725;802.539555;0.261903;0.196792
79;result\run_5f43816c42_1\178f4099.jpg;22.393786;759.81992;0.241416;0.135999
80;result\run_5f43816c42_1\88b86b89.jpg;22.192398;748.850995;0.262317;0.152172
81;result\run_5f43816c42_1\500ec3a7.jpg;22.103394;654.458681;0.231705;0.161876
