iteration;output_file;time_sec;mse;dssim;lbp_distance
1;result\abl_nz_in_100_00009225\5cbb762a.jpg;0.587429;13865.630625;0.571783;0.025633
2;result\abl_nz_in_100_00009225\d661795e.jpg;0.549387;8711.303750;0.382836;0.030721
3;result\abl_nz_in_100_00009225\38c2d6f4.jpg;0.529826;12806.833750;0.498515;0.052351
4;result\abl_nz_in_100_00009225\f6ae76ec.jpg;0.560176;13239.618125;0.506706;0.013550
5;result\abl_nz_in_100_00009225\41351f24.jpg;0.549160;12492.294375;0.560264;0.056006
6;result\abl_nz_in_100_00009225\3fa71f94.jpg;0.561459;13028.878750;0.446550;0.040601
7;result\abl_nz_in_100_00009225\60e6087d.jpg;0.622604;10309.806875;0.457653;0.031387
8;result\abl_nz_in_100_00009225\d4841ad9.jpg;0.587942;12657.803750;0.524418;0.062331
9;result\abl_nz_in_100_00009225\d6614e12.jpg;0.569861;14482.522500;0.609191;0.047070
10;result\abl_nz_in_100_00009225\ae9bcade.jpg;0.555759;12144.406875;0.502409;0.039241
