metric;min;Q1;median;Q3;max;mean;std;count
mse;842.586609;996.966425;1058.259876;1131.357269;1231.950789;1057.239505;100.992360;31
dssim;0.332100;0.347850;0.356595;0.368704;0.385665;0.357852;0.014219;31
lbp_distance;0.050387;0.079733;0.092007;0.097789;0.119355;0.089857;0.019016;31
