iteration;output_file;time_sec;mse;dssim;lbp_distance
1;result\abl_nz_in_100_00012538\776850f6.jpg;0.537289;6011.470000;0.405867;0.025202
2;result\abl_nz_in_100_00012538\d2c23005.jpg;0.539078;9673.202500;0.585531;0.023385
3;result\abl_nz_in_100_00012538\e40af717.jpg;0.544822;8750.130000;0.513352;0.035100
4;result\abl_nz_in_100_00012538\ba2a9164.jpg;0.577627;10494.176250;0.601912;0.042857
5;result\abl_nz_in_100_00012538\e316f434.jpg;0.555155;8700.678125;0.560438;0.031832
6;result\abl_nz_in_100_00012538\a58f8026.jpg;0.546534;5534.648750;0.387310;0.013835
7;result\abl_nz_in_100_00012538\654e1ccf.jpg;0.587855;3407.398125;0.262427;0.033611
8;result\abl_nz_in_100_00012538\379496d9.jpg;0.584232;9665.600625;0.568483;0.013636
9;result\abl_nz_in_100_00012538\a4a7ff20.jpg;0.614153;8729.250625;0.577597;0.023717
10;result\abl_nz_in_100_00012538\bffc1418.jpg;0.531959;8247.490625;0.568631;0.032918
