metric;min;Q1;median;Q3;max;mean;std;count
mse;594.642192;776.125821;881.042006;1095.203215;1202.729634;926.995326;171.287608;50
dssim;0.211394;0.232580;0.239879;0.260909;0.290510;0.245530;0.019569;50
lbp_distance;0.130279;0.217361;0.257503;0.279986;0.345525;0.250128;0.050890;50
