iteration;output_file;time_sec;mse;dssim;lbp_distance
1;result\abl_nz_in_100_00011996\b473e15e.jpg;0.529087;8285.822500;0.529999;0.017875
2;result\abl_nz_in_100_00011996\f03b4a98.jpg;0.506370;10425.352500;0.625257;0.038861
3;result\abl_nz_in_100_00011996\481d1532.jpg;0.530392;9589.056875;0.589538;0.025966
4;result\abl_nz_in_100_00011996\d251b7e1.jpg;0.560399;9154.465625;0.530034;0.014604
5;result\abl_nz_in_100_00011996\273b02fb.jpg;0.545738;5806.291250;0.463228;0.028504
6;result\abl_nz_in_100_00011996\f6805eb5.jpg;0.534737;7105.186875;0.464960;0.028559
7;result\abl_nz_in_100_00011996\93b4ffc3.jpg;0.532045;7061.975000;0.473892;0.033529
8;result\abl_nz_in_100_00011996\9c0de99e.jpg;0.532607;9754.893125;0.525912;0.036433
9;result\abl_nz_in_100_00011996\dd64254e.jpg;0.520957;6702.622500;0.495344;0.029235
10;result\abl_nz_in_100_00011996\6ea37cbf.jpg;0.519013;7102.237500;0.484170;0.023585
