metric;min;Q1;median;Q3;max;mean;std;count
mse;987.743555;1056.755367;1093.889570;1127.125527;1202.455642;1093.207858;52.307790;50
dssim;0.268266;0.284244;0.289984;0.294663;0.309754;0.289272;0.008063;50
lbp_distance;0.193296;0.216841;0.229042;0.240520;0.271873;0.229627;0.017799;50
