iteration;output_file;time_sec;mse;dssim;lbp_distance
1;result\abl_nz_in_100_00005642\3d8bad2a.jpg;0.614519;3302.625625;0.559476;0.027951
2;result\abl_nz_in_100_00005642\49078e4f.jpg;0.591184;2811.651875;0.489914;0.031462
3;result\abl_nz_in_100_00005642\6fed86f7.jpg;0.561811;2685.869375;0.504901;0.041089
4;result\abl_nz_in_100_00005642\ef7d3b61.jpg;0.610255;2739.213750;0.471877;0.035925
5;result\abl_nz_in_100_00005642\ddab5ac4.jpg;0.584397;2891.955000;0.545849;0.023369
6;result\abl_nz_in_100_00005642\7c68732e.jpg;0.570999;2976.223750;0.543917;0.025264
7;result\abl_nz_in_100_00005642\551e912d.jpg;0.554462;2318.817500;0.450407;0.028035
8;result\abl_nz_in_100_00005642\126a3603.jpg;0.566169;2695.372500;0.470885;0.030375
9;result\abl_nz_in_100_00005642\bed8e27b.jpg;0.568446;2410.150625;0.437195;0.035587
10;result\abl_nz_in_100_00005642\ee068609.jpg;0.611908;2837.882500;0.510744;0.026235
