iteration;output_file;time_sec;mse;dssim;lbp_distance
1;result\abl_nz_in_100_00006111\cde3ac6c.jpg;0.572659;10259.268750;0.494822;0.053568
2;result\abl_nz_in_100_00006111\bc758922.jpg;0.524312;12044.538125;0.521417;0.055213
3;result\abl_nz_in_100_00006111\d358db3a.jpg;0.552975;12023.495000;0.537083;0.033013
4;result\abl_nz_in_100_00006111\47e090c3.jpg;0.631865;12919.190000;0.548081;0.026810
5;result\abl_nz_in_100_00006111\0dbcdbff.jpg;0.702433;16293.235000;0.667076;0.051864
6;result\abl_nz_in_100_00006111\4c0d3683.jpg;0.575627;16905.736875;0.684981;0.036795
7;result\abl_nz_in_100_00006111\c9a39721.jpg;0.574549;11535.509375;0.575141;0.036261
8;result\abl_nz_in_100_00006111\4381c704.jpg;0.589738;9052.252500;0.472468;0.040889
9;result\abl_nz_in_100_00006111\719af0d2.jpg;0.563059;7291.321250;0.354411;0.074666
10;result\abl_nz_in_100_00006111\d616b422.jpg;0.566638;10584.050625;0.510108;0.070782
