iteration;output_file;time_sec;mse;dssim;lbp_distance
1;result\abl_nz_in_100_00007882\103d3122.jpg;0.538309;2153.794375;0.442402;0.040802
2;result\abl_nz_in_100_00007882\c8fb2a65.jpg;0.536454;2202.586250;0.470051;0.059909
3;result\abl_nz_in_100_00007882\bb16b466.jpg;0.534065;2447.520000;0.480707;0.050179
4;result\abl_nz_in_100_00007882\14c897b7.jpg;0.587410;2168.367500;0.479022;0.043157
5;result\abl_nz_in_100_00007882\9d522f04.jpg;0.598884;2201.900000;0.442385;0.141843
6;result\abl_nz_in_100_00007882\ec86f2f2.jpg;0.545295;2123.968750;0.468802;0.101550
7;result\abl_nz_in_100_00007882\9e11a7b8.jpg;0.598598;2145.056250;0.455433;0.100794
8;result\abl_nz_in_100_00007882\91a5d401.jpg;0.588566;2084.147500;0.474458;0.083278
9;result\abl_nz_in_100_00007882\d7a8a8a7.jpg;0.583333;2524.524375;0.461392;0.059365
10;result\abl_nz_in_100_00007882\837db2c1.jpg;0.553874;1970.493750;0.477801;0.155438
