iteration;output_file;time_sec;mse;dssim;lbp_distance
1;result\abl_nz_in_100_00012534\4372b777.jpg;0.549933;7462.823125;0.431525;0.025295
2;result\abl_nz_in_100_00012534\3abcb922.jpg;0.516480;9180.759375;0.502571;0.010000
3;result\abl_nz_in_100_00012534\38cb2765.jpg;0.545580;9276.084375;0.508483;0.025905
4;result\abl_nz_in_100_00012534\c7d6a3f7.jpg;0.544258;7426.092500;0.456166;0.029673
5;result\abl_nz_in_100_00012534\35418625.jpg;0.534019;8818.768750;0.527451;0.043238
6;result\abl_nz_in_100_00012534\70645da2.jpg;0.594143;7928.705000;0.478086;0.027628
7;result\abl_nz_in_100_00012534\44a7dc19.jpg;0.538677;8018.396875;0.466519;0.018687
8;result\abl_nz_in_100_00012534\f2d735d9.jpg;0.547287;8306.116875;0.485258;0.024953
9;result\abl_nz_in_100_00012534\7339ad12.jpg;0.534106;11002.956250;0.636329;0.015258
10;result\abl_nz_in_100_00012534\1961a2a8.jpg;0.564307;7390.529375;0.435517;0.025921
