metric;min;Q1;median;Q3;max;mean;std;count
mse;641.295461;862.151333;895.214979;1027.854916;1298.576414;936.747187;138.719894;50
dssim;0.196502;0.208476;0.215942;0.222922;0.240406;0.216304;0.010884;50
lbp_distance;0.118200;0.153533;0.173148;0.193454;0.305568;0.175558;0.037981;50
