iteration;output_file;time_sec;mse;dssim;lbp_distance
1;result\abl_nz_in_100_00006263\176f2ca4.jpg;0.538108;10213.590000;0.514317;0.018854
2;result\abl_nz_in_100_00006263\655908ca.jpg;0.538437;5119.198125;0.333567;0.017298
3;result\abl_nz_in_100_00006263\f5ac91c4.jpg;0.534562;8778.736250;0.478937;0.021884
4;result\abl_nz_in_100_00006263\56ffe76e.jpg;0.542063;7896.556875;0.426326;0.032977
5;result\abl_nz_in_100_00006263\1a12a9c7.jpg;0.569952;8978.930625;0.497402;0.016081
6;result\abl_nz_in_100_00006263\ab1371a9.jpg;0.558724;11168.961875;0.586703;0.016417
7;result\abl_nz_in_100_00006263\e25bb302.jpg;0.542595;9146.527500;0.470136;0.023402
8;result\abl_nz_in_100_00006263\05fcd8a7.jpg;0.519578;11977.731250;0.564143;0.026443
9;result\abl_nz_in_100_00006263\9d3c5edd.jpg;0.543909;9230.103125;0.492046;0.033202
10;result\abl_nz_in_100_00006263\e6e9b284.jpg;0.552687;7332.325000;0.432579;0.028696
