metric;min;Q1;median;Q3;max;mean;std;count
mse;781.970101;812.991251;832.546760;855.790927;913.064405;836.462719;32.257152;50
dssim;0.196446;0.203687;0.209047;0.213503;0.226367;0.208762;0.006537;50
lbp_distance;0.070720;0.105450;0.113574;0.132753;0.230006;0.117037;0.028916;50
