;min;Q1;median;Q3;max;mean;std;count
time_sec;16.229950;20.074041;24.687047;28.884569;41923.755803;221.216388;2790.972281;431
mse;406.688854;673.528331;835.963239;998.142192;1298.576414;827.917204;212.977423;431
dssim;0.165503;0.216655;0.246948;0.281734;0.385665;0.253744;0.043712;431
lbp_distance;0.044222;0.114695;0.169541;0.237211;0.393881;0.176228;0.072464;431
mse;781.970101;812.991251;832.546760;855.790927;913.064405;836.462719;32.257152;50
dssim;0.196446;0.203687;0.209047;0.213503;0.226367;0.208762;0.006537;50
lbp_distance;0.070720;0.105450;0.113574;0.132753;0.230006;0.117037;0.028916;50
