iteration;output_file;time_sec;mse;dssim;lbp_distance
1;result\abl_nz_in_100_00011244\c550f54a.jpg;0.550593;6957.018125;0.378938;0.043292
2;result\abl_nz_in_100_00011244\b9b59724.jpg;0.531765;11391.588750;0.613175;0.033143
3;result\abl_nz_in_100_00011244\cda64176.jpg;0.519759;3157.487500;0.206225;0.026131
4;result\abl_nz_in_100_00011244\4bb85340.jpg;0.530817;12743.441250;0.656133;0.031275
5;result\abl_nz_in_100_00011244\07c88f02.jpg;0.533527;8152.086875;0.453467;0.025418
6;result\abl_nz_in_100_00011244\3c0661da.jpg;0.518372;9248.254375;0.482000;0.054715
7;result\abl_nz_in_100_00011244\4fa90fdd.jpg;0.518039;10439.740625;0.550993;0.033762
8;result\abl_nz_in_100_00011244\5688a97c.jpg;0.533763;7769.970000;0.408429;0.049046
9;result\abl_nz_in_100_00011244\6e215900.jpg;0.518517;9893.370625;0.537046;0.023585
10;result\abl_nz_in_100_00011244\6add2bbb.jpg;0.517957;7439.079375;0.401282;0.032052
