iteration;output_file;time_sec;mse;dssim;lbp_distance
1;result\abl_nz_in_100_00012077\4e2d67fc.jpg;0.524755;6049.496875;0.426019;0.038780
2;result\abl_nz_in_100_00012077\3bae3791.jpg;0.510557;6891.599375;0.478227;0.046862
3;result\abl_nz_in_100_00012077\4cc8b34b.jpg;0.524304;5960.150000;0.447460;0.027528
4;result\abl_nz_in_100_00012077\128b4d10.jpg;0.516788;7074.823125;0.446809;0.039301
5;result\abl_nz_in_100_00012077\ca269bb2.jpg;0.530924;7810.589375;0.540586;0.042270
6;result\abl_nz_in_100_00012077\c1a280b9.jpg;0.566979;7498.563125;0.485772;0.038700
7;result\abl_nz_in_100_00012077\c5b4964b.jpg;0.534663;6872.555000;0.450198;0.038800
8;result\abl_nz_in_100_00012077\84e0a20c.jpg;0.515885;7354.060000;0.527864;0.074990
9;result\abl_nz_in_100_00012077\23f78d93.jpg;0.557897;7467.273125;0.491480;0.020059
10;result\abl_nz_in_100_00012077\faee7955.jpg;0.567463;8115.813750;0.501957;0.052552
