;min;Q1;median;Q3;max;mean;std;count
time_sec;14.871045;15.195804;15.486674;15.865860;18.200117;15.657115;0.693461;50
mse;389.264092;449.302471;480.838104;530.624252;601.308009;491.960690;53.205281;50
dssim;0.167821;0.193929;0.202580;0.212282;0.228215;0.201762;0.014080;50
lbp_distance;0.183943;0.216902;0.241783;0.264027;0.303772;0.240429;0.027344;50
