iteration;output_file;time_sec;mse;dssim;lbp_distance
1;result\abl_nz_in_100_00007021\5ac83bc9.jpg;0.521887;7332.765000;0.485884;0.034381
2;result\abl_nz_in_100_00007021\26256421.jpg;0.503940;5380.583125;0.477097;0.060667
3;result\abl_nz_in_100_00007021\55adfdba.jpg;0.521366;3425.791250;0.351709;0.021213
4;result\abl_nz_in_100_00007021\9291b79d.jpg;0.553648;6251.946875;0.518920;0.015983
5;result\abl_nz_in_100_00007021\92b539f3.jpg;0.560376;5617.528125;0.452256;0.065204
6;result\abl_nz_in_100_00007021\cf89ffc7.jpg;0.540880;7113.571875;0.526265;0.025000
7;result\abl_nz_in_100_00007021\37e45451.jpg;0.535639;5847.168125;0.515078;0.023832
8;result\abl_nz_in_100_00007021\75ad0494.jpg;0.532695;6986.989375;0.510930;0.019142
9;result\abl_nz_in_100_00007021\045ebeda.jpg;0.516315;5687.106250;0.495748;0.062300
10;result\abl_nz_in_100_00007021\e13a018a.jpg;0.515470;5025.568125;0.454382;0.010270
