metric;min;Q1;median;Q3;max;mean;std;count
time_sec;23.446353;24.643639;24.941886;25.407357;26.982323;25.017336;0.679607;50
mse;718.119106;855.918047;916.326978;963.638344;1098.808940;908.043843;81.445110;50
dssim;0.254412;0.274087;0.281408;0.287590;0.305702;0.281439;0.011858;50
lbp_distance;0.083647;0.148828;0.196143;0.245680;0.393881;0.203309;0.067886;50
